
44.8728405,-91.920204,red,square,"Pune"
44.8728402,-91.9201254,red,square,"Pune"
44.8728401,-91.9200873,red,square,"Pune"
44.87284,-91.9200668,red,square,"Pune"
44.8728383,-91.9196327,red,square,"Pune"
44.8728379,-91.9195288,red,square,"Pune"
44.8727586,-91.9195287,red,square,"Pune"
44.8723731,-91.9195266,red,square,"Pune"
44.8720158,-91.9195279,red,square,"Pune"
44.8719343,-91.9195278,red,square,"Pune"
44.8718565,-91.9195277,red,square,"Pune"
44.8710352,-91.9195268,red,square,"Pune"
44.8709397,-91.9195269,red,square,"Pune"
44.8706311,-91.9195274,red,square,"Pune"
44.8701187,-91.9195282,red,square,"Pune"
44.8700441,-91.9195285,red,square,"Pune"
44.8698848,-91.9195292,red,square,"Pune"
44.869687,-91.91953,red,square,"Pune"
44.8696265,-91.9195303,red,square,"Pune"
44.8692995,-91.9195317,red,square,"Pune"
44.8692178,-91.9195321,red,square,"Pune"
44.8688676,-91.9195321,red,square,"Pune"
44.8683888,-91.9195438,red,square,"Pune"
44.8683037,-91.919546,red,square,"Pune"
44.8673985,-91.9195527,red,square,"Pune"
44.8665703,-91.9195573,red,square,"Pune"
44.8664981,-91.9195577,red,square,"Pune"
44.8655974,-91.9195562,red,square,"Pune"
44.864721,-91.9195798,red,square,"Pune"
44.8641788,-91.919588,red,square,"Pune"
44.8638013,-91.9195864,red,square,"Pune"
44.8638014,-91.9194819,red,square,"Pune"
44.8638066,-91.9158773,red,square,"Pune"
44.8637905,-91.9157966,red,square,"Pune"
44.8637351,-91.9157216,red,square,"Pune"
44.8636049,-91.9157071,red,square,"Pune"
44.8636049,-91.9157071,red,square,"Pune"
44.8637351,-91.9157216,red,square,"Pune"
44.8637905,-91.9157966,red,square,"Pune"
44.8638066,-91.9158773,red,square,"Pune"
44.8638014,-91.9194819,red,square,"Pune"
44.8638013,-91.9195864,red,square,"Pune"
44.8638032,-91.9200407,red,square,"Pune"
44.8638066,-91.9208326,red,square,"Pune"
44.863735,-91.9208301,red,square,"Pune"
44.8629132,-91.9208489,red,square,"Pune"
44.8625626,-91.9212215,red,square,"Pune"
44.8620198,-91.9212215,red,square,"Pune"
44.8611185,-91.9212166,red,square,"Pune"
44.8611066,-91.9229474,red,square,"Pune"
44.8611008,-91.9237802,red,square,"Pune"
44.8611185,-91.9246334,red,square,"Pune"
44.8610373,-91.9246321,red,square,"Pune"
44.859244,-91.9246314,red,square,"Pune"
44.8576183,-91.9246663,red,square,"Pune"
44.8573373,-91.924681,red,square,"Pune"
44.8569326,-91.9246967,red,square,"Pune"
44.8568215,-91.924699,red,square,"Pune"
44.8565747,-91.9247096,red,square,"Pune"
44.856328,-91.924728,red,square,"Pune"
44.8561982,-91.9247457,red,square,"Pune"
44.856012,-91.924771,red,square,"Pune"
44.855741,-91.924831,red,square,"Pune"
44.855174,-91.924983,red,square,"Pune"
44.8546141,-91.9251337,red,square,"Pune"
44.8543724,-91.9251946,red,square,"Pune"
44.854679,-91.9253952,red,square,"Pune"
44.8548378,-91.9255104,red,square,"Pune"
44.8551778,-91.9257898,red,square,"Pune"
44.8555229,-91.9261301,red,square,"Pune"
44.8557186,-91.926343,red,square,"Pune"
44.855782,-91.926411,red,square,"Pune"
44.856251,-91.927042,red,square,"Pune"
44.856251,-91.927042,red,square,"Pune"
44.85703,-91.928205,red,square,"Pune"
44.857505,-91.928762,red,square,"Pune"
44.8575302,-91.9287916,red,square,"Pune"
44.85758,-91.92885,red,square,"Pune"
